,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
10,Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.972,66.403,66.83800000000001,67.277,67.71600000000001,68.153,68.58800000000001,69.016,69.42699999999999,69.809,70.14399999999999,70.41199999999999,70.605,70.723,70.775,70.783,70.783,70.798,70.83800000000001,70.89699999999999,70.937,70.91,70.77600000000001,70.51899999999999,70.15,69.69800000000001,69.205,68.732,68.332,68.038,67.87899999999999,67.87,67.99,68.218,68.538,68.938,69.404,69.91199999999999,70.434,70.944,71.40899999999999,71.8,72.112,72.348,72.513,72.626,72.71600000000001,72.815,72.946,73.118,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797,74.945,75.087,,
11,American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.968,62.523,63.049,63.54,63.992,64.40100000000001,64.762,65.081,65.363,65.616,65.847,66.066,66.28,66.498,66.727,66.975,67.244,67.533,67.837,68.154,68.482,68.818,69.156,69.491,69.82,70.137,70.44,70.72800000000001,71.00399999999999,71.267,71.52,71.765,72.006,72.247,72.48899999999999,72.732,72.977,73.222,73.465,73.705,73.94,74.171,74.395,74.613,74.821,75.01899999999999,75.204,75.376,75.535,75.683,75.82300000000001,75.956,76.087,76.218,76.34899999999999,76.483,76.617,76.752,76.885,77.016,,
13,Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.8170731707317,70.9731707317073,70.9424390243903,70.91170731707321,70.88097560975609,70.850243902439,70.819512195122,70.8692682926829,70.9190243902439,70.9687804878049,71.01853658536591,71.0682926829268,71.4575609756098,71.84682926829271,72.2360975609756,72.6253658536586,73.01463414634149,73.34439024390241,73.6741463414634,74.00390243902442,74.3336585365854,74.66341463414629,74.9048780487805,75.14634146341459,75.3878048780488,75.62926829268291,75.87073170731709,76.1517073170732,76.4326829268293,76.71365853658541,76.9946341463415,77.2756097560976,77.37804878048779,77.87804878048779,77.87804878048779,77.82926829268291,78.07804878048779,78.4804878048781,78.63170731707321,78.9317073170732,79.2341463414634,79.6341463414634,79.9365853658537,80.2390243902439,80.490243902439,80.84146341463409,81.0414634146342,81.2926829268293,81.39512195121951,81.54390243902441,81.6951219512195,81.89512195121951,82.04634146341459,82.14878048780491,82.3,82.4,82.44878048780491,82.5,82.74878048780491,82.9,,
14,Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.5856097560976,69.5773170731707,69.309512195122,69.4436585365854,69.92195121951221,69.7221951219512,70.0458536585366,69.9178048780488,70.0575609756098,69.8331707317073,69.9146341463415,70.1146341463415,70.4634146341463,71.01463414634149,71.0121951219512,71.1146341463415,71.5658536585366,71.9146341463415,72.0121951219512,72.3121951219512,72.4634146341463,72.8121951219512,72.9609756097561,73.0121951219512,73.6121951219512,73.81463414634149,74.3170731707317,74.7682926829268,75.21707317073171,75.2658536585366,75.56829268292691,75.6170731707317,75.8170731707317,76.0682926829268,76.41951219512201,76.6682926829268,76.87073170731709,77.319512195122,77.67073170731709,77.87560975609759,78.12682926829271,78.57560975609759,78.6780487804878,78.63170731707321,79.1804878048781,79.3317073170732,79.88048780487809,80.1804878048781,80.4317073170732,80.3317073170732,80.58048780487809,80.9829268292683,80.9365853658537,81.1365853658537,81.490243902439,81.19024390243901,81.6414634146342,81.64390243902442,81.6926829268293,81.7926829268293,,
15,Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.034,61.256,61.468999999999994,61.678999999999995,61.888999999999996,62.104,62.321999999999996,62.538999999999994,62.75,62.953,63.141000000000005,63.31,63.457,63.582,63.687,63.776,63.852,63.92100000000001,63.992,64.069,64.161,64.28,64.425,64.587,64.759,64.913,65.016,65.053,65.021,64.935,64.827,64.745,64.73100000000001,64.81,64.991,65.256,65.57300000000001,65.899,66.207,66.491,66.763,67.054,67.391,67.791,68.249,68.747,69.259,69.752,70.20100000000001,70.597,70.938,71.234,71.506,71.768,72.02199999999999,72.266,72.493,72.693,72.86399999999999,73.005,,
16,Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,41.281000000000006,41.592,41.907,42.225,42.54,42.838,43.105,43.332,43.523,43.685,43.841,44.021,44.246,44.528,44.865,45.242,45.63,45.998999999999995,46.327,46.608000000000004,46.852,47.083,47.324,47.581,47.843999999999994,48.08,48.243,48.301,48.244,48.08,47.82899999999999,47.522,47.211999999999996,46.953,46.786,46.758,46.905,47.226000000000006,47.708,48.339,49.091,49.93,50.81,51.69,52.547,53.369,54.163000000000004,54.943999999999996,55.721000000000004,56.488,57.228,57.925,58.568000000000005,59.148,59.665,60.123000000000005,60.528,60.898,61.247,61.583999999999996,,
17,Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.70195121951221,70.52097560975609,70.21951219512201,70.0514634146342,70.75512195121951,70.6253658536586,70.70634146341459,71.0129268292683,70.6931707317073,70.7648780487805,70.9719512195122,71.0604878048781,71.4051219512195,71.63536585365858,71.9858536585366,71.97121951219509,72.119756097561,72.77390243902441,72.6980487804878,73.1936585365854,73.2070731707317,73.6217073170732,73.8880487804878,73.86902439024391,74.4048780487805,74.520243902439,74.7317073170732,75.3658536585366,75.5658536585366,75.6326829268293,76.0519512195122,76.1921951219512,76.35121951219509,76.3453658536585,76.6917073170732,76.84073170731709,77.1873170731707,77.37073170731709,77.4731707317073,77.619512195122,77.7219512195122,77.9731707317073,78.07560975609759,78.12926829268291,78.87804878048779,78.9804878048781,79.380487804878,79.78292682926829,79.6804878048781,80.0341463414634,80.1829268292683,80.5853658536585,80.3853658536585,80.5878048780488,81.2878048780488,80.9926829268293,81.4390243902439,81.4926829268293,81.5951219512195,81.7463414634146,,
18,Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.271,37.727,38.188,38.655,39.13,39.615,40.109,40.61,41.117,41.63,42.152,42.684,43.229,43.781000000000006,44.336999999999996,44.882,45.398999999999994,45.883,46.335,46.763999999999996,47.19,47.643,48.145,48.71,49.339,50.034,50.79,51.581,52.372,53.132,53.812,54.36600000000001,54.776,55.042,55.174,55.203,55.17,55.133,55.138999999999996,55.218,55.391000000000005,55.668,56.025,56.43600000000001,56.887,57.355,57.817,58.255,58.653999999999996,59.00899999999999,59.318000000000005,59.59,59.842,60.092,60.345,60.608000000000004,60.885,61.174,61.47,61.771,,
19,Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,34.431999999999995,34.897,35.369,35.847,36.330999999999996,36.815,37.291,37.754,38.207,38.652,39.095,39.542,40.003,40.493,41.025,41.63,42.343,43.166000000000004,44.081,45.06,46.049,46.983999999999995,47.81,48.486000000000004,48.992,49.323,49.492,49.55,49.545,49.505,49.45399999999999,49.409,49.373999999999995,49.36,49.38,49.445,49.556999999999995,49.713,49.913999999999994,50.168,50.489,50.893,51.38399999999999,51.956,52.602,53.31,54.063,54.841,55.618,56.376999999999995,57.096000000000004,57.761,58.373999999999995,58.937,59.45,59.919,60.354,60.768,61.174,61.577,,
